2012-10-16 23:01:28 status unpacked libdrm-nouveau1a:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:28 status unpacked libdrm-nouveau1a:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:28 install libdrm-radeon1:armhf <none> 2.4.39-0ubuntu1
2012-10-16 23:01:28 status half-installed libdrm-radeon1:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:28 status unpacked libdrm-radeon1:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:28 status unpacked libdrm-radeon1:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:28 install libdrm2:armhf <none> 2.4.39-0ubuntu1
2012-10-16 23:01:28 status half-installed libdrm2:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:28 status unpacked libdrm2:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:28 status unpacked libdrm2:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:28 install libexpat1:armhf <none> 2.1.0-1ubuntu1
2012-10-16 23:01:28 status half-installed libexpat1:armhf 2.1.0-1ubuntu1
2012-10-16 23:01:28 status unpacked libexpat1:armhf 2.1.0-1ubuntu1
2012-10-16 23:01:28 status unpacked libexpat1:armhf 2.1.0-1ubuntu1
2012-10-16 23:01:28 install libffi6:armhf <none> 3.0.11-2
2012-10-16 23:01:28 status half-installed libffi6:armhf 3.0.11-2
2012-10-16 23:01:28 status unpacked libffi6:armhf 3.0.11-2
2012-10-16 23:01:28 status unpacked libffi6:armhf 3.0.11-2
2012-10-16 23:01:28 install libgcc1:armhf <none> 1:4.7.2-2ubuntu1
2012-10-16 23:01:28 status half-installed libgcc1:armhf 1:4.7.2-2ubuntu1
2012-10-16 23:01:28 status unpacked libgcc1:armhf 1:4.7.2-2ubuntu1
2012-10-16 23:01:28 status unpacked libgcc1:armhf 1:4.7.2-2ubuntu1
2012-10-16 23:01:28 install libglib2.0-0:armhf <none> 2.34.0-1ubuntu1
2012-10-16 23:01:28 status half-installed libglib2.0-0:armhf 2.34.0-1ubuntu1
2012-10-16 23:01:29 status unpacked libglib2.0-0:armhf 2.34.0-1ubuntu1
2012-10-16 23:01:29 status unpacked libglib2.0-0:armhf 2.34.0-1ubuntu1
2012-10-16 23:01:29 install libklibc:armhf <none> 2.0.1-1ubuntu2
2012-10-16 23:01:29 status half-installed libklibc:armhf 2.0.1-1ubuntu2
2012-10-16 23:01:29 status unpacked libklibc:armhf 2.0.1-1ubuntu2
2012-10-16 23:01:29 status unpacked libklibc:armhf 2.0.1-1ubuntu2
2012-10-16 23:01:29 install libkms1:armhf <none> 2.4.39-0ubuntu1
2012-10-16 23:01:29 status half-installed libkms1:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:29 status unpacked libkms1:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:29 status unpacked libkms1:armhf 2.4.39-0ubuntu1
2012-10-16 23:01:29 install liblzma5:armhf <none> 5.1.1alpha+20120614-1
2012-10-16 23:01:29 status half-installed liblzma5:armhf 5.1.1alpha+20120614-1
2012-10-16 23:01:29 status unpacked liblzma5:armhf 5.1.1alpha+20120614-1
2012-10-16 23:01:29 status unpacked liblzma5:armhf 5.1.1alpha+20120614-1
2012-10-16 23:01:29 install libmount1:armhf <none> 2.20.1-5.1ubuntu2
2012-10-16 23:01:29 status half-installed libmount1:armhf 2.20.1-5.1ubuntu2
2012-10-16 23:01:29 status unpacked libmount1:armhf 2.20.1-5.1ubuntu2
2012-10-16 23:01:29 status unpacked libmount1:armhf 2.20.1-5.1ubuntu2
2012-10-16 23:01:29 install libncurses5:armhf <none> 5.9-10ubuntu1
2012-10-16 23:01:29 status half-installed libncurses5:armhf 5.9-10ubuntu1
2012-10-16 23:01:29 status unpacked libncurses5:armhf 5.9-10ubuntu1
2012-10-16 23:01:29 status unpacked libncurses5:armhf 5.9-10ubuntu1
2012-10-16 23:01:29 install libncursesw5:armhf <none> 5.9-10ubuntu1
2012-10-16 23:01:29 status half-installed libncursesw5:armhf 5.9-10ubuntu1
2012-10-16 23:01:29 status unpacked libncursesw5:armhf 5.9-10ubuntu1
2012-10-16 23:01:29 status unpacked libncursesw5:armhf 5.9-10ubuntu1
2012-10-16 23:01:29 install libnih-dbus1:armhf <none> 1.0.3-4ubuntu11
2012-10-16 23:01:29 status half-installed libnih-dbus1:armhf 1.0.3-4ubuntu11
2012-10-16 23:01:29 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu11
2012-10-16 23:01:29 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu11
2012-10-16 23:01:29 install libnih1:armhf <none> 1.0.3-4ubuntu11
2012-10-16 23:01:29 status half-installed libnih1:armhf 1.0.3-4ubuntu11
2012-10-16 23:01:29 status unpacked libnih1:armhf 1.0.3-4ubuntu11
2012-10-16 23:01:29 status unpacked libnih1:armhf 1.0.3-4ubuntu11
2012-10-16 23:01:30 install libpam-modules:armhf <none> 1.1.3-7ubuntu3
2012-10-16 23:01:30 status half-installed libpam-modules:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 status unpacked libpam-modules:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 status unpacked libpam-modules:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 install libpam-modules-bin:armhf <none> 1.1.3-7ubuntu3
2012-10-16 23:01:30 status half-installed libpam-modules-bin:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 status unpacked libpam-modules-bin:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 status unpacked libpam-modules-bin:armhf 1.1.3-7ubuntu3
2012-10-16 23:01:30 install libpam-runtime:all <none> 1.1.3-7ubuntu3
2012-10-16 23:01:30 status half-installed libpam-runtime:all 1.1.3-7ubuntu3
2012-10-16 23:01:30 status unpacked libpam-runtime:all 1.1.3-7ubuntu3
